Title,Release Date,Platform,Developer,Genre,Content
LEGO Star Wars Original,2005,Various,Traveller’s Tales,Action / Adventure,"Very few games explain themselves so comprehensively in the space of their own titles, but LEGO Star Wars genuinely does exactly what it says on the box. It reduces George Lucas’s much beloved space opera to the level of the village choir, restaging its climactic battles in simulated plastic, and flinging famous Jedi, ’droids, and stormtroopers into a world of knockabout platforming nonsense. The results are enduringly hard to dislike. Boiling each film down to a handful of pantomime cut scenes and some elaborate, rather undisciplined, stages (the first game sullies itself with the largely embarrassing prequel trilogy, but the follow-up tackles the original movies), you’ll eventually play almost every hero and villain in the series. Wielding blasters, lightsabers, and the mysterious Force to battle an onslaught of brainless enemies, you negotiate the terrain and deal with an almost unprecedented array of collectibles and unlockables. While the backgrounds themselves are static, most of the more immediate furniture is made of LEGO blocks, and a huge part of the fun comes from simply smashing things to pieces and seeing what you’ll find inside. If style, warmth, and a cooperative system are the game’s strengths, the various puzzles you’ll encounter along the way are perhaps its weaknesses. Most of them are meandering and, considering the game is aimed at children, often really rather fiddly. That’s not enough to undo the general sense of Saturday morning fun that Traveller’s Tales’s game can summon up, however, and once the whole thing’s finished, you may find yourself playing through it again and again until you’ve found absolutely all of its secrets. And that, incidentally, will take you a long, long time regardless of how far away your galaxy is."
Lemmings Original,1991,Various,DMA Design,Puzzle,"Few games other than Tetris can claim to have appeared on as many formats as this historic action puzzler. Dave Jones, the founder of DMA Design, claims to have lost count at twenty, and that was before the numerous PlayStation and mobile iterations were added to the list. Famously, the idea was conceived almost by accident, when artist Mike Dailly was experimenting with the animation of tiny characters in an 8 x 8 pixel grid. Programmer Russell Kay saw the results and pronounced: “There’s a game in that.” And there certainly was. At first glance, perhaps, Lemmings looks like a standard late-1980s platformer, its sparse yet neat visual style presenting teeny, teeming sprites. But it is, in fact, a masterpiece of sandbox design, allowing players endless ways to complete each level. Over a vast series of levels, the player must guide a set number of tiny lemming characters from the entrance to the exit, avoiding hazards such as lava pools and large falls. Instead of directly controlling the critters, however, there is a range of eight skills that can be designated to individuals via a point-and-click interface. The builder skill, for example, allows a lemming to construct a staircase across a chasm, while bashers, miners, and diggers all create differently angled holes in platforms to create new routes. It is up to the player to decide how the available skills should be used to solve each level. Press coverage at the launch was very enthusiastic, and 55,000 copies flew from shop shelves on day one (impressive at the time). The ensuing conveyor belt of sequels and conversions led to subsequent sales of more than fifteen million units. Alongside contemporaries such as Worms and Populous, it’s a defining work in the British game design canon."
Let’s Tap Original,2008,Various,Prope,Music,"The problem with creating an icon is that you can labor under its shadow for the rest of your career. But Yuji Naka, cocreator of Sonic the Hedgehog, found a neat solution with the first game from his own start-up studio: He decided to work with the one thing about the blue blur that no one else had picked up on: the simple controls. Where most Wii games see its Remote as an opportunity for exaggerated gestures and simulated thrusts, Let’s Tap doesn’t even want you to hold it. Placing the controller inside the game’s cardboard packaging, you drum your fingers, and control the game through delicate vibrations. Let’s Tap rejoices in the simple act of play. It comes with more than thirty brilliant J-pop jangles and just wants you to beat along to their infectious rhythms. The visualizer mode, meanwhile, gives you five artistic options, then lets you loose to see what tapping can produce; it’s a mode full of little Easter eggs and quiet surprises. Let’s Tap wasn’t just the name of the game, but a mission statement: Why do more when we haven’t begun to explore what can be done with the bare minimum?"
Line Rider Original,2006,Internet,Boštjan Cadež,Action,"Is Line Rider a game or a toy? Perhaps it doesn’t really matter all that much. Whatever niche this particular game slots into, the results are charming and rather excellent fun. Here is a physics playground where the rules, like the scenery, all depend upon your own imagination. Created by Slovenian university student Boštjan Cadež, Line Rider tasks you with drawing a ski slope on a blank page, and then watching carefully as a tiny little tobogganist flings himself energetically down it. The physics are absolutely brilliant. Even before the first ten minutes are up, you’ll have put this tiny nobody through some truly vicious collisions. The real pleasure lies in simply sitting back and watching your assault course come to life, bumping and jarring, and flinging the poor chap off course as he careens unpredictably downhill in a cloud of comic violence. What happens next in Line Rider is entirely up to you. If you want to refine the longest possible run, you’re absolutely free to do it. If you’d rather create daredevil spins and loops and twirls, that’s perfectly acceptable too. Or possibly, as so many YouTube contributors have done, you want to simply sketch a picture, creating a fantasy landscape of your own or painstakingly copying an old master, before seeing what it does to this poor little man on his battered sledge. Line Rider gambles that the future of games is all about freedom rather than rules, fun rather than easily defined achievements. Whether it’s right or wrong remains to be seen, but with more complex DS and Wii versions failing to hit quite the same sweet spot, the best way to experience this odd little game is still for free on the Internet. And experience this game you must, for its simplicity and elegance hit a sweet spot few can match."
Little Big Adventure Original,1994,Various,Adeline,Action / Adventure,"Developed in France but set in a vibrant world of pure imagination, this prototypical action-adventure title was like nothing else in 1994. You play Twinsen, a Quetch whose nightmares see him labeled insane but will ultimately save his planet’s inhabitants. This seemingly cute planet is effectively a police state, and its strange inhabitants include Grobos, who look like elephants; Rabbibunnies; and the ancient Spheroids with their distinctive ball shape. The world is rendered in isometric 3-D and is partially free-roaming as unlocked areas can be accessed at will. Standard stuff now, but radical at the time. What endures more than Little Big Adventure’s technical achievements is the world itself. The essential polygonality of the characters is wonderfully realized in 3-D, the rich environments and music providing a palpable sense of place. Rarely have today’s action adventures conjured the otherworldliness and drama of the innocuously titled Little Big Adventure, with its toy-town figures, charming sampled speech, and colorful environs."
Little Computer People Original,1985,Various,Activision,Life Simulation,"Little Computer People is endlessly credited as the inspiration for The Sims, but it is extraordinary in its own right, especially within the limitations of its technology. It presents a crosssection view of a three-story house populated by a little man, who goes about the rather mundane business of living—eating, drinking, sleeping, watching TV, shuffling around with his canine companion—and leaves the player largely to their own devices. Besides sending enough food and drink to keep man and pup in good health, the player’s role is marginal. So long as they’re phrased politely, the computer person might listen to suggestions (“Please play piano!”); he might occasionally write a letter to express his satisfaction with his current state of affairs, or he might challenge the player to a game of cards. Most of the time, though, he’s just puttering about doing nothing in particular. Little Computer People is a digital goldfish bowl, expecting nothing more from its players than calm and patient inquisitiveness. For some, that’s too much to ask. What is unique and fascinating to Little Computer People’s fans is boring and pointless to its detractors. The game is based on the premise that these computer people do actually exist inside your machine, and the software is just a lens through which to view them—the game’s manual and packaging are adorably stubborn in their commitment to the illusion. It is true, though, that no two computer people are the same. Each copy of the game generates its character uniquely, giving every player a slightly different experience—except the unfortunate souls stuck with the severely maimed cassette versions, which conjure a new character with every start up, removing all meaningful continuity from the game."
Little King’s Story Original,2009,Wii,Cing / Town Factory,Role-Playing / Strategy,"When he isn’t making Harvest Moon, Yasuhiro Wada has varied interests. He worked on No More Heroes with Goichi Suda, and he oversaw this delightful Wii strategy game from its inception, pulling in artistic and design talents with experience of everything from Super Mario RPG to super-obscure Japanese cult titles, such as Moon and Chulip. Little King’s Story is quirkier than it first appears. The gently bizarre character design and dialogue lend personality to what might be dismissively branded a Pikmin clone. Pikmin is an influence, obviously, but the game also channels the insidiously addictive nature of Harvest Moon. The player is merely the brains—it’s a steadily growing army of little followers with different hats who do all the game’s dirty work. Little King launches his subjects at enemies and obstacles to get them out the way and collect resources to build up the area around his castle with more and more houses, barracks, and carpenters’ shops, improving the quality of life for his little citizens. The game is characterized by a dreamlike childishness, with cut scenes drawn in moving crayon, tutorial screens written on chalkboard, and a fuzzy, friendly supporting cast of bumbling knights and sentient cows. There’s a gentle inference that the whole game is going on inside the head of a bored but imaginative five-year-old. But it’s deeper than it looks; one of the first challenges comes when a threatening religious zealot demands that you build a church or face God’s punishment, and it leaves the options open. Its simple simulation of feudalism isn’t quite as adorable as it might appear, either, necessitating the systematic eradication of quite harmless-looking little monsters in order to expand the kingdom. Little King’s Story might be cute, but it’s in no way immature."
LittleBigPlanet Original,2008,PS3,Media Molecule,Puzzle / Platform,"Okay, it’s a platform game, but it’s also a platform for making games. But, depending on your ingenuity and patience, the games you make don’t have to be platformers themselves. Indeed, they don’t even have to be games. Bedroom geniuses have turned LittleBigPlanet’s quirky tools toward puzzle titles, racers, side-scrolling shooters, mechanical calculators, roller coasters, animatronic photo albums, jukeboxes, and absolutely everything in between. The tools are unavoidably quirky, with the tool-shed hobbyist’s love of complexity. Torque setting, emission ratios, rigidity, and all manner of other calibrations a certain type of person will love to mess around with feature heavily—the same pleasures that may make other players want to run a mile. Stephen Fry takes a rare break from Twittering about what he had for breakfast to provide a rumpled, avuncular guide to the game’s complexities, yet, mesmerizing as it all is, LittleBigPlanet inevitably loses a certain proportion of its audience from the moment they realize that there’s more than one variety of bolt on offer. But the genius of the game is that you don’t have to create. You can merely consume, logging in daily to see what the community has built for you to enjoy, play through the developer’s own (frequently brilliant) levels, and marvel at the handicraft art style that revels in buttons, felt, sponge, cork, and anything else you might find at the bottom of the world’s greatest desk drawer. There are even downloadable add-ons, such as an inspired paint gun–focused Metal Gear Solid–themed pack. LittleBigPlanet isn’t a game everybody will want to stick with, but it’s a game everybody should have a chance to play. Muddled, ingenious, and staggeringly imaginative, like Fry himself, it is a very British eccentricity."
LocoRoco 2 Original,2008,PSP,Sony,Platform / Puzzle,"A plasticine playground that likes to break off from the player’s control to go on roller coaster rides, LocoRoco 2 doesn’t do anything revolutionary to the formula of the original: It just makes it better. It works because it understands its host. Where others try to graft existing platformers onto the PSP’s slightly cramped controls, LocoRoco 2 uses just the two big shoulder buttons. Thus, you tilt the world on the pin-sharp PSP screen to the left or right, which makes the LocoRoco roll as gravity dictates, and occasionally press both buttons together for a little hop. The flipside of this is that there’s a greater degree of latitude in level design than in other platformers—with such slippery controls it couldn’t be otherwise. But although you may struggle to bag a particularly out-of-the-way piece of fruit, it’s not going to stop you completing a level. This game bounces. It sings as you play and encourages luxuriating in a mad ecosystem where the guts of a huge animal can be used as a slide. There’s an infectious joy about LocoRoco 2 that makes it one of the few games that will put a smile on anyone’s face."
Lode Runner Original,1983,Various,Douglas E. Smith,Platform,"With its clever melding of puzzling and action, Lode Runner is an eminently playable platformer. It was, however, revolutionary for another reason, as one of the first games to offer a level editor. Giving players access to the building blocks of Lode Runner’s game world wasn’t just a ploy to extend the game’s lifespan and popularity—it gave the gaming community a then-rare opportunity to fully digest the concepts at work in every gold-scrounging level. Lode Runners scenario is almost primal. Set in a series of ornate caverns—multilayered mazes connected by ladders and bridges—the protagonist is a gold miner able to dig holes through soft rock. All around, guards try to prevent him from nabbing all the area’s gold and escaping. The original game shipped with 150 levels, but the modders crafted countless more. And the fact that the chase, dig, nab, and run of Lode Runner feels infinitely replayable is surely a testament to the rock-solid original design. But the game’s longevity and timelessness also reflects well on us. Leave it to gamers to carry the torch, and they’ll illuminate depths you never imagined."
Logan’s Shadow Original,2007,Various,Sony Bend,Stealth / Shoot ’Em Up,"Sony Bend proved it could summon incredible performance from PSP hardware with Syphon Filter: Dark Mirror, and the team proved there was still more to eke out with this sequel, which adds further game play mechanics to Gabe Logan’s secret agent arsenal. The story is surprisingly deep, twisting around world politics and the wild-card terrorist element, who’ve got their nefarious paws on world-threatening technology. The hero’s team is called on to use all of its spying talents and gadgets to chase down answers. This sixth entry in the Syphon Filter series boasts fluid game play by allowing health to regenerate and supplying more information on potential threats, such as where those pesky grenades are going to land. Supported by the context-sensitive ability to take cover and hide behind walls, the variety of combat situations is pretty significant. The slick design makes play mostly intuitive. You can enjoy a stylish solo adventure and then test out the options in ad hoc or infrastructure multiplayer, including new modes Retrieval and Sabotage. It’s an impressive package squeezed into the PSP, and remains one of the most acclaimed games on the platform."
Loom Original,1991,Various,LucasArts,Adventure,"Loom is the LucasArts adventure that slipped through the cracks. It was the esoteric, rather serious fantasy title that didn’t have crowd-pleasing comedy elements like insult swordfights, tabloid reporters, or talking meteorites. In fact, it was all pretty calm and cerebral: a haunting tale of another world, told in a way that made it both more imaginative and more unwieldy than its famous siblings. It doesn’t even have the SCUMM engine’s most distinctive feature, the verb list that traditionally dominates the bottom half of the screen. Loom presents its players with a musical stave before sending them off on an epic quest as Bobbin Threadbare—amazingly not a name selected for its comedic potential—in a struggle to save his whimsical fantasyland from an unknown shadowy menace. That’s where the stave comes in. Most actions in Loom are achieved by playing simple pieces of music, each with their own power to affect the game world, instead of piecing together object-oriented sentences for the on-screen avatar to then enact as with other LucasArts titles. The system is not entirely dissimilar to that which Nintendo would employ in The Legend of Zelda: Ocarina of Time, but it’s far more complex in Loom, and rather than provide a rhythmic backup to a standard adventure control scheme, it pretty much replaces it wholesale. A fascinating experiment, Loom may be more famous for its sales pitch inserted into the opening bar scene of The Secret of Monkey Island, but it’s well worth tracking down in its own right. While it’s almost inevitable that all of LucasArts’s back catalog will one day make its way to the iPhone in some legitimate sense, the best means of playing this today is by downloading it via Steam."
Lords of Midnight Original,1984,Various,Mike Singleton,Strategy / Adventure,"In the early 1980s, Mike Singleton was writing fantasy role-playing games. When he set out to develop a similarly epic computer version, there were no orthodox methods of displaying the vast worlds he imagined. So he decided to invent one. Lords of Midnight, a vast adventure set within a fantasy realm, featured a groundbreaking graphics technique called “landscaping.” It enabled the player to depict his surroundings from a first-person perspective. The plot follows Prince Luxor as he seeks to defeat the armies of the evil Doomdark. Skilled, strategic planning is needed as you prepare for each new engagement. At the end of each turn, darkness falls and Doomdark makes his move. The following morning, you receive a written report of the battles, victories, and defeats of the previous night. This kind of game may not be to everyone’s taste, but Lords of Midnight does make for an atmospheric and pleasantly cerebral experience. Amusingly enough, Singleton was said to have thought there was no way to defeat Doomdark: gamers, of course—as is their wont—proved him wrong."
Lost Winds Original,2008,Wii,Frontier Developments,Platform / Adventure,"The cold, mercilessly capitalist wastelands of deep space seem a very long way away in this whimsical WiiWare title from Frontier, headed up by David Braben, the cocreator of Elite. Instead, the brutal and uncaring universe of the future is replaced with green grass, a gentle fall of cherry blossom, and the tale of a young boy called Toku, and his explorative adventures with the wind spirit, Enril. As the player, you get to control both: the Wii’s Nunchuk allows you to steer Toku through the complex, 2-D environments. The Remote gives you access to Enril and his capricious wind powers, as you unlock the abilities to gust Toku across gaps, tug flames about in blustery strands, create swirling vortices, and let your tiny boyish charge soar across the sky on his billowing cape. It’s a tightly conceived adventure, each new level bringing a handful of clever new platforming ideas to the game. Although Lost Winds was one of the first games to appear via Nintendo’s WiiWare service and has since been followed by a sequel, it remains one of the most accomplished downloadable Wii games."
Lost Winds: Winter of the Melodias Original,2009,Wii,Frontier Developments,Platform / Adventure,"Developed, like the original Lost Winds, by a small team on a tight schedule, Lost Winds: Winter of the Melodias proves that there is always room for a little extra invention, even within the constraints of a downloadable game’s limited file size. Its art style is at once sumptuous and beautifully understated. Its world is simple and two-dimensional, but the generous incidental detail in the characters and environments suffuses it with character. The player controls the winds with intuitive gesture controls, suspending boulders in a vortex, gusting protagonists across gaps, or gathering up water or fire in a slipstream. The whole world reacts to the winds, tempting you to dally playfully with branches, grass, and blossoms, or sweep up leaves in eddies. For the early part of the game, little hero Toku is stuck in an eternal winter, forced to stay close to sources of heat until he finds a warm coat. From then on, the power to change the seasons at will not only showcases the flair and diversity of the game’s art style, but adds an extra level of strategic depth to its elegant puzzles. Lost Winds: Winter of the Melodias is often about playing with the dynamics of water, snow, and ice, sweeping up snowballs with the winds or draining pools to create icy pathways. Its internal logic is beguilingly clever—each time you solve a puzzle, you’re not just smiling at your own sense of accomplishment, but at the slick inventiveness of the game design itself. Helpful maps and hints reduce time spent wandering, searching for puzzles. It plays smoothly, but it’s over quickly. Successful downloadable games marry a simple and involving concept with a distinctive visual style; given how effectively this game commands these key strengths, it’s difficult to begrudge its length."
Luigi’s Mansion Original,2001,GameCube,Nintendo,Action,"Nightmares and dreamscapes abound! GameCube launch title Luigi’s Mansion is the Mario game where you can’t jump or bottom-bounce off foes; indeed, it’s the Mario game where you don’t actually play as Mario. Instead, his lanky brother, Luigi, comes to the fore, the beanpole hero in green dispatched to a haunted house where his famous brother has been kidnapped by a mischievous gaggle of ghosts. What unfolds is one of the strangest and most constantly surprising Mario titles ever—a room-clearing riff on Ghostbusters, with Luigi working as a no-nonsense exorcist, sucking the cartoony blobs of undead into his handy Poltergust 3000. Essentially a series of extremely quirky boss fights strung together with a spooky minimalist narrative, Luigi’s Mansion is an absolute masterpiece of staging, each self-contained chamber featuring its own otherworldly gimmick, be it musical instruments that play themselves, a candelabra glimpsed bobbing down the hallway, a nightmare of mirrors and doors, or—best of all—the wood-lined observatory where a peak through the telescope takes Luigi on a brief, magical trip through a twinkling universe of stars. It’s a bold departure, and throughout it all there’s the lingering sense of a seasoned development team letting go after years of expanding on a brilliant, but well-defined, template. Not only did Luigi’s Mansion nail the slippery business of bagging ghouls far more convincingly than 2009’s Ghostbusters game for the 360 and PS3, but it also managed to add valuable new material to the Mario canon itself, casting Luigi as the cowardly brother made heroic, bringing a dash of lasting characterization to a series that had plenty of personality, but relied, for the most part, on interchangeably cheery ciphers for the leads."
Lumines Live Original,2006,Various,Q Entertainment,Puzzle,"Lumines Live showed there was room in the competitive world of falling block puzzle games if you had class and if you had style. The game offered beautiful multicolor backdrops pulsating to the rhythms of niche Japanese trance with a tight game mechanic embellishing its classic formula with a few neat twists. On the PSP, it was the game that helped define the system in its early days, as perfectly built for the slick device’s glorious screen as Tetris had been chunkily appropriate for the flickering green face of the Game Boy. Arriving late to the party on Xbox Live Arcade, however, the argument was mostly about price. Lumines Live came out on Microsoft’s console, cut into a series of fairly expensive installments, and players were quick to suggest that they were being nickel-and-dimed by Q Entertainment, or the Xbox 360’s famously rich platform holder, or, most probably, both at the same time. Resistance was useless, however. Lumines Live is as bluntly addictive on a high-definition television as it is in the palm of your hand. While it may look like Tetris with its collapsing chains and passing timeline, the realization that it actually plays nothing like Tetris hits just as hard a second time. The unlockable skins that power your journey through the game may have suffered slightly under Xbox Live’s download file cap at the time, but not even the odd blurry surface can take away from such a gloriously implemented port, with everything except the slightly disheveled multiplayer turning up trumps. Meanwhile nothing, absolutely nothing at all, can diminish the undying pleasures of playing a brilliant title on a controller that no longer makes you feel like somebody stood on your knuckles."
Lumines Original,2004,PSP,Q Entertainment,Puzzle,"Block-rocking beats, or beat-rocking blocks? Lumines (pronounced “luminous”) gives you plenty of both. The first game from Tetsuya Mizuguchi’s Q Entertainment, this widescreen take on Columns and Tetris continues the tradition of his previous games, Rez and Space Channel 5, by using music and light to energize a classic game mechanic. More than just a vehicle for soundtrack and special effects, though, it’s another synesthesic masterpiece that fits the PSP like a glove. Two-by-two squares of blocks fall into the playing field, and the player is able to nudge and rotate them until they land and are locked in place. Each component block has its own color, and if four identical colors come together, they’re destroyed and points are scored. Further pairs of the same color will extend this formation in any direction: 2 x 3, 5 x 2, an unbroken L shape—all are valid if the colors match. Destruction only happens in the wake of a vertical line that moves slowly and continuously across the screen, giving you a few vital seconds to build these structures for giant combos. And because gravity makes the surrounding blocks collapse, colors often come together by chance. If they run out of space, of course, it’s game over. This would be enjoyable in a single nondescript stage, but Lumines, as much a game as a twenty-first-century mix tape, prefers “skins.” If you clear enough blocks, the visual and sonic theme changes entirely, every input and explosion triggering new effects that layer on top of the backing track, creating a rolling, dynamic soundscape. The bebop one, the break beat one, the electro house one; that’s how you’ll remember its levels. Other games may be glitzier, but Lumines is the essential PSP mix: portable, limitless, and incandescent."
Lunar Lander Original,1979,Arcade,Atari,Flight Simulator,"Cold and actually rather serious in tone, Lunar Lander may sound like a knockabout science-fiction romp, but this classic arcade game is tainted with a very slight whiff of education. In essence, Atari’s offering is a bare-bones physics simulator in which you balance fuel consumption, thrust, gravity, and momentum to land the titular spacecraft on a brightly abstracted moon, frantically recalculating your strategy on the fly, to avoid blowing yourself into pieces in the process. It may sound fairly dull, but—surprisingly—it isn’t at all. In its peculiar mixture of abstraction and precision, Lunar Lander actually feels real in a way almost none of its competitors ever have. Other space games may offer flashy nebulae, swift pirouetting craft, and intergalactic adventure filled with alien encounters and laser battles, but Lunar Lander is the only one to allow you to briefly lose yourself in the fantasy, that you’re genuinely onboard an Apollo mission, staring feverishly at the control panel, praying that you aren’t about to get your away-team buddies comprehensively pulverized before they get to plant their flags. And, in its own modest little way, Lunar Lander was forward thinking, too. Physics is now one of the great battlegrounds of modern gaming, a back-of-the-box bullet point in everything from shooters like Half-Life 2 to quirky puzzlers like Boom Blox. Lunar Lander got there first, when other games were still drawing childish mazes or trying to convince you that a large letter X was actually a racing car. Atari’s classic might be light on genuine fun, then, and a title that appeals to the more bookish, solitary manner of children, but it’s also an early indicator of the potential scope and quirks of games that the industry is only now reaching to embrace."
M.U.LE. Original,1983,Various,Ozark Softscape,Strategy,"When Trip Hawkins first launched his fledgling Electronics Arts company, he approached publisher SSI with an offer for the rights to the business sim Cartels & Cutthroats. When he was turned down, Hawkins made a direct approach to Dan Bunten, the game’s author, who promised to produce a far superior original instead. Nine months later M.U.L.E. shipped as EA’s first product. A sophisticated multiplayer game, it not only launched what would soon become a multi-billion-dollar corporation, but is widely considered to be one of the most influential ever written. A detailed economic simulator with a focus on nonviolent competitive cooperation—a common theme for Bunten, who detested gaming’s obsession with killing—M.U.L.E.’s pioneering steps laid foundations for countless other titles. Up to four players are tasked with the management of a new colony on planet Irata in a scenario inspired by the Wild West. The simple purpose of the game is to amass the greatest wealth by balancing the supply and demand of four basic elements. This is achieved by configuring a Multiple Use Labor Element, which is programmed to harvest varying amounts of each element. Players buy whatever they need and sell what they don’t need of their own harvest, and try to stay in profit. The genius of M.U.L.E. is that, while victory is achieved through the accumulation of wealth, it is impossible for one player alone to harvest everything needed. The message is that collaboration and the well-being of the colony as a whole are a necessity or all players will fail. SimCity, Command & Conquer, and Viva Pihata all owe a great debt to M.U.L.E.’s innovations. Indeed, Will Wright dedicated The Sims to Bunten, who died in 1998, and even included M.U.L.E.’s theme tune as a hidden extra in his 2008 game, Spore."
Maboshi: The Three Shape Arcade Original,2008,Wii,MindWare,Puzzle,"If you’re sick of incompetent friends messing up your multiplayer games, here’s an idea: play with yourself. Maboshi: The Three Shape Arcade is composed of three simple games, all controlled with one button: Square, a snakelike battle against a rising wall of fire; Circle, a momentum-based arena where you have to bash encroaching beasties; and Stick, a bouncy race upward through an obstacle course. Each game’s basic visual style hides a great idea, and individually they’d easily qualify for Nintendo’s Art Style series. But by combining the three and allowing them to influence one another, MindWare crafted a singular puzzler that’s as much about panic as planning, lastminute escapes as overconfident falls. It can be played as a multiplayer, each of the three games assigned its own portion of the screen, and if you’re going solo, the computer will step in to play along on the other games. But Maboshi: The Three Shape Arcade also allows you to save your best runs on each of the games, and then play in tandem with your ghostly self. It’s a high-score chase bolstered by your old high-score chases, where you know what’s going to happen with Stick and can plan accordingly, or where you know that Square is soon going to bottom out, so you’d better be prepared to push on alone. Single multiplayer Maboshi not only lets you help yourself, but exposes the frailties within your own play, pointing out just how badly you played last time around. The only aim is simple: Mr. Maboshi keeps popping up and asks if you’ll bag a million points for him. The game is all about racking up scores—but where in other games you do it for yourself, here it’s for the sake of the game. The better you get at Maboshi, the better Maboshi gets for you."
Machinarium Original,2009,Various,Amanita Design,Adventure,"In 2006, Jakub Dvorsky invited some friends to become collaborators on a new video game project. Dvorsky had been building games throughout his life, and after graduating from art school he launched a company called Amanita Design. The assembled team toiled away with no pay and only vague prospects of success. With the new channels of digital distribution available and an award from the Independent Games Festival, Machinarium became an international sensation, and has since allowed Dvorsky and his partners to work on their projects full-time. It is a bold illustration of the changing landscape of independent games. The game’s artwork is perhaps its most distinguishing feature. Vaclav Blin’s distinctive style is heavily evident in the game’s paintbrushed aesthetic. The color palette is dominated by browns and grays, but not in any oppressive, overwhelming sense. The world feels positively ancient under Blin’s care, and the set design takes on Tim Burton—esque tones for both its surreality and morose disposition. It’s Machinarium’s dedication to simplicity that makes the title sing. As a lonely robot, you’re searching for your one true love. Yet there isn’t a lick of dialogue. The little automatons communicate via speech bubbles, expressing their joy, frustration, and disappointment. Game play, meanwhile, is even quaint. Point-and-click adventures are a vestige of a bygone era, and Dvorsky’s choice to follow that route arises both from financial necessity and a commercial reality. In fact, Machinarium is part of a newer generation of games that are using point-and-click to new creative and narrative ends. The world is much bigger now for independent designers, so much so that even the niche is large enough to support the audience."
Mad Planets Original,1983,Arcade,Gottlieb,Shoot ’Em Up,"Gottlieb was a pinball giant that tried its hand at arcade games with limited success, most notably the cartoony Q*bert. Less well known is 1983’s Mad Planets, a particularly manic shooter that did itself no favors by being a bit too far out there for it to gain widespread appeal. Instead of the usual aliens, you’re up against entire planets—planets that start small and weedy but quickly become massive, extremely dangerous, and follow crazy skewed orbits that would have had Newton scratching his head and going back to the drawing board. Things are tough from the start. Nowhere on the screen is there a safe haven, so to even things up a little, you’re given full freedom of movement—the whole screen is yours through which to maneuver, and a spinner enables you to turn and shoot in all directions. It may seem like a lot of freedom, but you need every degree of it because you are in almost permanent danger of a furious world slamming into you from any direction. The trick, learned early in the game, is to try to blast the planets when they’re small. But they evolve so quickly that a level can turn from a duck shoot to utter chaos inside a second. Furthermore, you have to mind just how you shoot them: If you’re not careful, you’ll just pick off their moons—and a moonless planet becomes a mad planet, glowing red and slinging itself around ever faster. It’s fast and it’s twitchy with a strange control scheme that makes it tricky to emulate and saw it almost untouched by home clones. Crazy Comets and Mega Apocalypse, both by Simon Nicol on the Commodore 64, were the only games to recreate the Mad Planets experience. Unique and rather special, if you can find the means to play Mad Planets properly, you’ll discover a tough, daft, and rewarding space oddity."
Madden NFL 10 Original,2009,Various,Electronic Arts,Sports,"In 2008, the perennial chart-topping Madden franchise celebrated its twentieth anniversary. That version was marked by numerous feature upgrades to support visuals aimed at producing a style tightly in tune with the broadcast TV images devoured by US audiences every Sunday. So maybe incremental features and minor enhancements would be expected—and even accepted—for Madden NFL 10. But the surprisingly impressive range of updates to the on-field action takes the experience strides farther down the realism path. A system called Pro-Tak has the most immediate impact on both the look and flow of each play. The new animations allow more players to pile into tackles and create realistic plays as the quarterback drops into the pocket before throwing downfield. Other tweaks fine-tune the game play with more realistic momentum as players run with the ball and attempt dekes and stiff-arms. Similarly, the contact and coverage between wide receivers and defensive backs generate realistic timing patterns that can take many, many tries on the practice ground to perfect. Half-time and post-game highlights, plus numerous camera angles, allow you to dissect every move from multiple perspectives. Cuts to the coaches patrolling the sideline, or the quarterback talking on the phone to the offensive coordinator, all add flavor without getting in the way of the on-field action or slowing down the pace. The wealth of options to build a franchise, draft players (now the AI specifically addresses its team needs), and play online guarantee football fans a full year of action after the sixteen-game regular season is done."
Mafia: The City of Lost Heaven Original,2002,PC,Illusion Softworks,Shoot ’Em Up,"Proving that an open world doesn’t have to offer countless possibilities, Mafia: The City of Lost Heaven expects just one thing from its fictional city: detail. Period detail, to be exact; this gangster epic assumes the cars, streets, decor, and even laws of a city during the Prohibition. A little too sensational to be The Godfather, perhaps, but it does a damn fine impression of The Untouchables. The story is told in flashbacks by Tommy Angelo, a member of the Lost Heaven mafia who quits the life of crime and rats out his “family” to a detective in a restaurant. In a bid for witness protection, his story goes right back to day one, when two gangsters jump into his taxi and “ask” him to outrun some trigger-happy pursuers. Made an offer he can’t refuse by the impressed Don Salieri, we see him rise through the ranks of the underworld and wage war on a newfound enemy, the connected Don Morello. Needless to say, the words “double-cross” feature prominently throughout the game from thereon in. Mafia: The City of Lost Heaven’s idea of exploration is to drive between waypoints and sniff out the best avenues for on-foot missions. It’s immersion, really; a chance to live out the age of Tommy guns, Studebakers, speakeasies, and bootleggers. Radio sounds include Louis Armstrong and the Mills Brothers, while references to Goodfellas (not, admittedly, a 1930s saga) are everywhere. Aside from an early emphasis on visuals, most remember the game’s strict highway code, its police not taking kindly to you breaking the local speed limit. This suggestion that responsible driving could be just as enjoyable as pedestrian-mowing chases would be championed by games like Driver: Parallel Lines and Grand Theft Auto IV—but not for some years."
